id,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
1,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3858,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),7/22/2024 11:30,05h 00m,7/22/2024 16:30,3.6,720,43
2,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 9356,Super Luxury (Non AC Seater 2+2 Push Back),7/22/2024 11:30,06h 35m,7/22/2024 18:05,3.9,469,31
3,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3601,Super Luxury (Non AC Seater 2+2 Push Back),7/22/2024 12:00,08h 20m,7/22/2024 20:20,2.5,469,32
4,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35269,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),7/22/2024 12:15,06h 10m,7/22/2024 18:25,3.3,720,34
5,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3515,Super Luxury (Non AC Seater 2+2 Push Back),7/22/2024 12:30,07h 35m,7/22/2024 20:05,2.4,469,32
6,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3823,Super Luxury (Non AC Seater 2+2 Push Back),7/22/2024 12:45,06h 58m,7/22/2024 19:43,3.9,469,29
7,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3562,Super Luxury (Non AC Seater 2+2 Push Back),7/22/2024 12:45,06h 40m,7/22/2024 19:25,2.7,436,33
8,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35117,INDRA(A.C. Seater),7/22/2024 13:00,06h 09m,7/22/2024 19:09,3.5,567,33
9,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3549,Super Luxury (Non AC Seater 2+2 Push Back),7/22/2024 13:15,06h 45m,7/22/2024 20:00,4.5,436,33
10,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 23879,Super Luxury (Non AC Seater 2+2 Push Back),7/22/2024 13:50,05h 00m,7/22/2024 18:50,3.4,436,33
11,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3825,Super Luxury (Non AC Seater 2+2 Push Back),7/22/2024 14:00,06h 40m,7/22/2024 20:40,2.8,469,32
12,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3571,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),7/22/2024 14:00,06h 04m,7/22/2024 20:04,4.1,720,43
13,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4052,Super Luxury (Non AC Seater 2+2 Push Back),7/22/2024 14:00,06h 40m,7/22/2024 20:40,4.8,436,30
14,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3583,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),7/22/2024 14:30,06h 00m,7/22/2024 20:30,3.8,720,38
15,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3886,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),7/22/2024 15:00,05h 00m,7/22/2024 20:00,4.1,720,26
16,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3525,Super Luxury (Non AC Seater 2+2 Push Back),7/22/2024 15:00,08h 00m,7/22/2024 23:00,4.2,469,33
